product_id,product_name
1024,Пуф Альфа Velvet Light
1026,Пуф Альфа Milk
102787,Кровать Лайтси 160 Ocean
102799,Кровать Лайтси 180 Ocean
1028,Пуф Альфа Choco
102877,Кровать Слипсон 140 Velvet Crimson
102880,Кровать Слипсон 160 Velvet Yellow
102882,Кровать Слипсон 180 Velvet Yellow
1029,Пуф Альфа
102948,Диван Райли Brown
102949,Диван Райли Dusty Blue
102950,Диван Райли Grey
102952,Диван Райли Light
102954,Диван Райли Navy Blue
103044,Подушка Гаага Sherst Grafit
103045,Подушка Гаага Sherst Sky
103046,Подушка Гаага Sherst Light
103047,Подушка Гаага Sherst Grey
103048,Подушка Гаага Sherst Blue
103049,Подушка Гаага Velvet Black
103248,Кровать Ситено 140 Sherst Grey
103249,Кровать Ситено 180 Sherst Grey
103251,Кровать Ситено 160 Sherst Grey
103252,Кровать Ситено 160 Sherst Sky
103253,Кровать Ситено 180 Sherst Sky
103343,Ковер Cleo-Tores 160x230
103347,Ковер Nero-Tach 80x150
103348,Ковер Nero-Tach 160x230
103361,Ковер Ungaro-Ameli 160x230
103362,Ковер Ungaro-Jasmine 160x230
103364,Вешалка Стелла Дуб Сонома
103365,Сервант Стелла Дуб Сонома
103366,Кровать Стелла 160 Дуб Сонома
103367,Прихожая Стелла Дуб Сонома
103368,Обувница Стелла-1 Дуб Сонома
103369,Тумба прикроватная Стелла Дуб Сонома
103372,Распашной шкаф Стелла-1.1 Дуб Сонома
103373,Распашной шкаф Стелла-1.2 Дуб Сонома
103375,Распашной шкаф Стелла-2 Дуб Сонома
103379,Распашной шкаф Стелла-2.1 Дуб Сонома
103387,Распашной шкаф Стелла-3 Дуб Сонома
103388,Распашной шкаф Стелла-3.1 Дуб Сонома
103390,Угловой распашной шкаф Стелла Дуб Сонома
103394,Комод Стелла-2 Дуб Сонома
103414,Кресло Чарли Velvet Emerald
103416,Кресло Чарли Velvet Latte
103417,Кресло Чарли Velvet Pink
103420,Пуф Чарли Velvet Pink
103421,Пуф Чарли Velvet Lime
103423,Пуф Чарли Velvet Grey
103424,Пуф Чарли Velvet Emerald
103426,Зеркало Стелла Дуб Сонома
103427,Кресло-мешок Рокси L Velvet Beige
103428,Кресло-мешок Рокси L Velvet Blue
103429,Кресло-мешок Рокси L Velvet Grass
103430,Кресло-мешок Рокси L Velvet Latte
103431,Кресло-мешок Рокси L Velvet Red
103432,Кресло-мешок Рокси L Velvet Yellow
103434,Угловой распашной шкаф Стелла Дуб Сонома с зеркалом
103435,Распашной шкаф Стелла-2.1 Дуб Сонома с зеркалом
103436,Кресло-мешок Рокси L Velvet Navy Blue
103437,Кресло-мешок Рокси L Velvet Dusty Pink
103452,Витрина Стелла Дуб Сонома
103453,ТВ-тумба Стелла Дуб Сонома
103458,Кресло Сите Barhat Beige
103460,Кресло Сите Barhat Grass
103461,Кресло Сите Barhat Grey
103462,Кресло Сите Barhat Salmon
103463,Кресло Сите Barhat Rain
103464,Диван Сите-2 Barhat Beige
103465,Диван Сите-2 Barhat Blue
103466,Диван Сите-2 Barhat Grass
103467,Диван Сите-2 Barhat Grey
103468,Диван Сите-2 Barhat Salmon
103469,Диван Сите-2 Barhat Rain
103470,Диван Сите-3 Barhat Beige
103471,Диван Сите-3 Barhat Blue
103472,Диван Сите-3 Barhat Grass
103473,Диван Сите-3 Barhat Grey
